song_id,song_title,artist,album,genre,release_date,duration,popularity,stream,language,explicit_content,label,composer,producer,collaboration
SP0001,Space executive series.,Sydney Clark,What.,Electronic,1997-11-08,282.0,42,35055874,English,Yes,Def Jam,Amy Hatfield,Jeffrey Weaver,
SP0002,Price last painting.,Connor Peters DDS,Nature politics.,Electronic,2015-05-10,127.0,50,9249527,English,Yes,Universal Music,Jason Gregory,Kenneth White,
SP0003,Piece.,Anna Keith,Visit.,Pop,2024-07-08,,10,76669110,English,Yes,Universal Music,Rachel Lopez,Jason Barnes,
SP0004,Power industry your.,Zachary Simpson,Behavior evening.,Hip-Hop,2022-08-15,214.0,86,34732016,English,No,Sony Music,Thomas Li,Mrs. Becky Palmer,
SP0005,Food animal second.,Christopher Mcgee,Front.,Pop,2023-03-05,273.0,63,96649372,English,Yes,Def Jam,Adam Wagner,Beverly Baker,
SP0006,Whatever Mr send.,Nathan King,Various experience.,Folk,2015-11-29,312.0,74,82613530,,Yes,Indie,Brad Hicks,John Brown,
SP0007,Each leg.,Joshua Santos,Determine.,Hip-Hop,1996-03-16,336.0,49,88337653,Japanese,No,Def Jam,Henry Willis,William Smith,
SP0008,Person then enjoy.,Leonard Brown,Sense lot.,Hip-Hop,2017-08-14,237.0,9,95988275,English,No,Atlantic Records,Keith Horton,Justin Gonzalez,
SP0009,Poor.,William Ford,Organization.,Pop,2002-02-28,,74,67287444,Spanish,No,Warner Music,James Roth,Jeffrey Perry,
SP0010,East husband.,Susan Harrell,List item.,Electronic,2016-12-06,216.0,2,48726791,English,Yes,Warner Music,Maria Castro,Justin Grant,
SP0011,Mother building well.,Shannon Moore,Process if.,Electronic,2002-11-12,161.0,81,77988216,English,No,Universal Music,Barbara Castaneda,Michael Williams,Michael Ingram
SP0012,Pattern personal tree.,Kenneth Lee,Police customer.,R&B,2003-08-01,345.0,88,32428546,English,Yes,Def Jam,Lauren Martinez,Timothy Shelton,
SP0013,Possible whatever continue special.,George Thomas,We summer.,Folk,2008-09-05,131.0,73,73155234,English,No,Def Jam,Brian Wise Jr.,Susan Waters,
SP0014,Floor someone minute.,Christopher Torres,Few control.,Pop,2008-06-04,,62,7384310,English,Yes,Universal Music,Bruce Bonilla,Brandon Smith,
SP0015,Various director cell.,Richard Edwards,Doctor.,Hip-Hop,2004-06-01,237.0,29,40215039,English,No,Atlantic Records,Nicholas Reese,Michelle Gordon,
SP0016,Season available lot.,Diane Hall,Project and.,Jazz,2011-02-05,231.0,83,82785276,English,Yes,Def Jam,Melissa Clark,Brittany Smith,
SP0017,Along new.,Victoria Morris,With small.,Electronic,2009-06-30,230.0,58,21609743,English,Yes,Universal Music,Daniel George,Daniel Robertson,
SP0018,Large stock buy oil.,Holly Mitchell,Management artist.,Electronic,2010-03-24,280.0,85,90028790,English,Yes,Sony Music,Kristin Martinez,Theresa Calhoun,Christopher Ramirez
SP0019,Computer professor score.,Rachel Hernandez,Major ahead.,Classical,1996-07-06,129.0,57,81831229,Spanish,Yes,Warner Music,Jessica Donaldson,David Brooks,
SP0020,Site difference.,Natalie Silva,Exist game.,Pop,2010-06-14,314.0,88,30447360,English,No,Def Jam,Michael Jones,Bryan Shepherd,
SP0021,Country real.,Kimberly Bernard,Success investment.,Pop,1996-10-03,173.0,94,98263763,Japanese,No,Sony Music,Peter Griffith,Helen Sims,Joseph Weaver
SP0022,Friend material rather.,Joshua Petty,Across.,Hip-Hop,2021-12-30,293.0,63,27983825,English,No,Warner Music,Jill Wu,Alexandria Johnson,
SP0023,Matter class specific.,Suzanne Singh,Leave.,Hip-Hop,2014-11-15,256.0,42,97729744,English,Yes,Def Jam,Stephen Lewis,Francisco Brandt,
SP0024,Not start.,Alison Douglas,Trip international.,Electronic,2023-06-18,173.0,80,429348,English,Yes,Sony Music,Susan Montoya,Matthew Anderson,Samantha Shepherd
SP0025,Consumer.,Patrick Bass,Again.,Pop,2016-02-08,273.0,43,88413255,English,Yes,Sony Music,Ashley Rivera,Jennifer Mcgee PhD,Chad Jones
SP0026,Successful.,Candace Conley,Response.,Pop,1998-05-01,312.0,36,50013515,English,No,Sony Music,Gregory George,Valerie Mckinney DVM,
SP0027,Boy red.,Jennifer Matthews,Year hard.,Jazz,2012-07-12,186.0,38,70985364,English,No,Indie,Heather Ortiz,Michelle Rivera,Angelica Hernandez
SP0028,Meeting summer else.,Sylvia Wagner MD,Chair.,Electronic,1995-03-02,271.0,90,83124231,English,Yes,Indie,Michael Lee,David Bradley,
SP0029,Take gas.,Samantha Smith,Eight join.,Jazz,2024-05-21,274.0,14,73417622,English,Yes,Indie,Connie Johnson,Sarah Doyle,
SP0030,Would director good.,Kimberly Stephenson,School.,R&B,2011-09-01,323.0,80,95176650,English,Yes,Indie,Steven Travis,Miguel Brown,
SP0031,Edge yes.,Mr. Thomas Mullins PhD,Determine.,Country,2008-11-24,188.0,75,75780954,German,No,Atlantic Records,Kevin Jennings,Sean Harrell,Jerry Wilson
SP0032,Beautiful success along.,Nicole Clark,Third wonder.,Hip-Hop,2000-07-02,211.0,82,90437409,English,No,Universal Music,Teresa Crane,David Brown,
SP0033,Fact cell wall tend.,Nicole Dunn,Film peace.,Jazz,2012-11-28,288.0,72,72331654,English,Yes,Warner Music,William Snyder,Mary Clark,Judy Schwartz
SP0034,Side.,Mrs. Jessica Cole,Old.,Hip-Hop,2002-03-04,,99,20875976,French,No,Indie,Angela Chambers,William Alexander,Sara Rogers
SP0035,Sister marriage have.,Ashley Sandoval,Process.,Pop,2021-10-22,260.0,65,7894934,,Yes,Indie,Tiffany Rodriguez,Theresa Sullivan,
SP0036,Get.,Tracey Nichols,Draw war.,Hip-Hop,1996-04-22,184.0,60,17692432,Korean,Yes,Warner Music,Joshua Martin,Jacqueline Pena,
SP0037,Cultural still building.,Brandon Watson,Next describe.,Electronic,2019-06-18,194.0,95,61091790,German,No,Universal Music,John Anderson MD,Jason Ruiz,Kim Lewis
SP0038,Attack office.,Sandra Cabrera,Glass tell.,Hip-Hop,2021-06-12,201.0,39,6393734,English,Yes,Def Jam,Cory Padilla,John Johnson,Lisa Lucas
SP0039,Partner generation weight.,Harold Long,Health parent.,Folk,2009-01-29,246.0,76,1329243,English,No,Warner Music,Ashley Rivera,Charles Sanders,
SP0040,News candidate.,Scott Hicks,Everyone.,Classical,2008-10-19,319.0,74,90945437,Spanish,No,Sony Music,Russell Gonzalez,Bailey Sims,
SP0041,Live candidate believe.,Anthony Baker,Town fill.,Pop,2019-02-25,196.0,39,9819670,English,No,Warner Music,Paul Foster,Mindy Simpson,
SP0042,Degree deal cultural.,Dustin Morris,True green.,Electronic,1998-11-13,238.0,30,86576441,English,No,Atlantic Records,Joshua Sheppard,Jennifer Santana,
SP0043,Accept quickly.,Wanda Thompson,Feel thousand.,Electronic,2007-03-16,194.0,44,29675027,English,Yes,Def Jam,Mark Kane,Paul Collins,Deanna Mitchell
SP0044,Information think.,Henry Skinner,Production.,Hip-Hop,2002-08-15,110.0,77,50783069,English,Yes,Sony Music,Jesse Scott,Anne Estrada,
SP0045,Nice sign.,Patrick Wells,Opportunity base.,Hip-Hop,2023-11-09,223.0,43,19552905,English,No,Universal Music,Erica Long,Jessica Vega,Jorge Caldwell
SP0046,Hard too state.,Victoria Green,Vote cut.,Hip-Hop,1996-07-20,256.0,4,63557089,English,No,Warner Music,Hayley Jones,Kelli Michael,
SP0047,By kid.,Sean Wilson,Four.,Pop,2006-08-14,150.0,18,26542387,English,Yes,Sony Music,Reginald Herrera,Stacie Peterson,Rebecca Cruz
SP0048,Nice across.,Teresa Robinson,Professional.,Hip-Hop,1995-08-07,240.0,42,11528011,English,Yes,Sony Music,Amy Diaz,Melissa Powell,
SP0049,Group economic.,Vanessa Mack,Discussion financial.,Hip-Hop,2021-07-09,252.0,38,35796020,Korean,No,Atlantic Records,Kelsey Weber,Natalie Walker,
SP0050,Training score structure.,Maxwell Parker,Similar.,Pop,2019-03-18,234.0,86,23072717,,No,Indie,Suzanne Macdonald,Logan Elliott,Lisa Trujillo
SP0051,Sure around.,Daniel Glover,Himself.,Pop,2006-05-11,252.0,4,19221229,English,No,Atlantic Records,Corey Watkins,Edwin Mccormick,
SP0052,Another lose suddenly.,Maurice Silva,Cover.,Hip-Hop,2009-06-25,267.0,9,60478565,Korean,No,Warner Music,Jesse Campbell,Katrina Cox,
SP0053,Organization leg able quite.,Timothy Smith,Hit.,Classical,2020-01-09,324.0,7,54901737,English,Yes,Indie,Kristina Mayo,Maria Carney,
SP0054,Hit fire use.,Carol Cobb,Visit.,Jazz,2015-12-19,382.0,40,71634376,English,No,Sony Music,Roger Perez MD,April Fitzpatrick,
SP0055,Dream chance.,Emma Moon,Loss ability.,Electronic,1995-02-08,268.0,23,21637443,Spanish,No,Warner Music,Tonya Curtis,Heather Hill,Kimberly Murphy
SP0056,Behavior give include.,Mark Hall,Method.,Folk,1998-03-20,299.0,45,17378187,Spanish,Yes,Indie,Brian Mcneil,Brian Wong,Marcia Lindsey
SP0057,Drive through manage.,Alison Hubbard,Time occur.,Hip-Hop,1998-08-15,249.0,20,75772599,English,Yes,Universal Music,Kathleen Ruiz,Joseph Burns,
SP0058,Visit we high.,Tyler Walker,Budget check.,Electronic,2015-05-29,242.0,12,3591264,Spanish,No,Indie,Jessica Wallace,Jacqueline Diaz,
SP0059,Build part central.,Jacob Meyers,Everybody.,Hip-Hop,2002-01-12,,74,92195780,,Yes,Sony Music,Ashley Williamson,Tristan Moran,
SP0060,Play firm thought whom.,Felicia Singh,Travel.,Hip-Hop,2024-10-03,243.0,73,18399148,Korean,No,Sony Music,Matthew Orr,Bethany Fleming PhD,Amanda Wells
SP0061,Brother old include.,Janice Parker,Old.,Hip-Hop,2004-06-24,316.0,71,39996865,Spanish,Yes,Warner Music,Wanda Chen,Sandy Rodriguez,Dana Young
SP0062,Method every.,Richard Grant,High.,Pop,2016-07-22,,48,86023568,English,Yes,Universal Music,Jessica Meyer,Walter Henderson,Samantha Johnson
SP0063,Produce television.,Charles Franco,Against discover.,Electronic,2020-04-18,159.0,58,92061269,English,Yes,Warner Music,Janet Mcdowell,Stefanie Jones,Crystal Patterson
SP0064,Day article write.,Jerry Smith,Environmental.,Classical,2021-04-06,,39,94206935,German,No,Sony Music,Andrew Martinez,Daniel Clark,
